anon_id,stain,filename,mpp_lvl_0,magnification_lvl_0,mpp_lvl_1,magnification_lvl_1,mpp_lvl_2,magnification_lvl_2,mpp_lvl_3,magnification_lvl_3,mpp_lvl_4,magnification_lvl_4,mpp_lvl_5,magnification_lvl_5,mpp_lvl_6,magnification_lvl_6,mpp_lvl_7,magnification_lvl_7,mpp_lvl_8,magnification_lvl_8,vendor,model,set
617,KI67,617_KI67_train.tif,0.9198891632087288,10X,1.8397783264174568,5X,3.679556652834915,2.5X,7.35911330566983,1.25X,14.71822661133966,0.625X,29.43645322267932,0.3125X,58.87290644535864,0.15625X,117.74581289071727,0.078125X,235.49162578143446,0.0390625X,hamamatsu,C13220,train
444,HE,444_HE_train.tif,0.9097732390201744,10X,1.8195464780403483,5X,3.6390929560806966,2.5X,7.278185912161393,1.25X,14.556371824322786,0.625X,29.112743648645573,0.3125X,58.225487297291146,0.15625X,116.45097459458229,0.078125X,232.90194918916458,0.0390625X,hamamatsu,C12000-22,train
520,PGR,520_PGR_train.tif,0.9198891632087288,10X,1.8397783264174568,5X,3.679556652834915,2.5X,7.35911330566983,1.25X,14.71822661133966,0.625X,29.43645322267932,0.3125X,58.87290644535864,0.15625X,117.74581289071727,0.078125X,235.49162578143446,0.0390625X,hamamatsu,C13220,train
33,HER2,33_HER2_train.tif,0.907338096858342,10X,1.814676193716684,5X,3.629352387433368,2.5X,7.258704774866736,1.25X,14.517409549733472,0.625X,29.034819099466944,0.3125X,58.06963819893389,0.15625X,116.13927639786777,0.078125X,232.27855279573555,0.0390625X,hamamatsu,C12000-02,train
335,ER,335_ER_train.tif,0.907338096858342,10X,1.814676193716684,5X,3.629352387433368,2.5X,7.258704774866736,1.25X,14.517409549733472,0.625X,29.034819099466944,0.3125X,58.06963819893389,0.15625X,116.13927639786777,0.078125X,232.27855279573555,0.0390625X,hamamatsu,C12000-02,train
372,KI67,372_KI67_train.tif,0.907338096858342,10X,1.814676193716684,5X,3.629352387433368,2.5X,7.258704774866736,1.25X,14.517409549733472,0.625X,29.034819099466944,0.3125X,58.06963819893389,0.15625X,116.13927639786777,0.078125X,232.27855279573555,0.0390625X,hamamatsu,C12000-02,train
299,PGR,299_PGR_train.tif,0.9198891632087288,10X,1.8397783264174568,5X,3.679556652834915,2.5X,7.35911330566983,1.25X,14.71822661133966,0.625X,29.43645322267932,0.3125X,58.87290644535864,0.15625X,117.74581289071727,0.078125X,235.49162578143446,0.0390625X,hamamatsu,C13220,train
339,ER,339_ER_train.tif,0.9109542245502164,10X,1.8219084491004327,5X,3.6438168982008654,2.5X,7.287633796401732,1.25X,14.575267592803463,0.625X,29.150535185606927,0.3125X,58.301070371213854,0.15625X,116.60214074242771,0.078125X,233.20428148485541,0.0390625X,hamamatsu,C12000-22,train
59,KI67,59_KI67_train.tif,0.9097732390201744,10X,1.8195464780403483,5X,3.6390929560806966,2.5X,7.278185912161393,1.25X,14.556371824322786,0.625X,29.112743648645573,0.3125X,58.225487297291146,0.15625X,116.45097459458229,0.078125X,232.90194918916458,0.0390625X,hamamatsu,C12000-22,train
608,ER,608_ER_train.tif,0.9109542245502164,10X,1.8219084491004327,5X,3.6438168982008654,2.5X,7.287633796401732,1.25X,14.575267592803463,0.625X,29.150535185606927,0.3125X,58.301070371213854,0.15625X,116.60214074242771,0.078125X,233.20428148485541,0.0390625X,hamamatsu,C12000-22,train
